Pos,Age,MP,FG,FGA,FG%,PTS,height,weight,PER
C,27.0,637.0,167.0,334.0,0.5,411.0,206.0,95.0,17.5
SG,32.0,465.0,62.0,132.0,0.47,166.0,185.0,81.0,10.1
PG,25.0,2698.0,539.0,1097.0,0.491,1337.0,190.0,86.0,16.2
PF,28.0,2552.0,603.0,1273.0,0.474,1715.0,203.0,106.0,20.6
PG,23.0,1242.0,240.0,477.0,0.503,609.0,183.0,72.0,15.6
C,26.0,1392.0,232.0,498.0,0.466,570.0,211.0,97.0,12.6
SF,30.0,278.0,33.0,74.0,0.446,83.0,196.0,97.0,11.9
PF,28.0,46.0,9.0,20.0,0.45,29.0,206.0,88.0,16.5
SG,29.0,1705.0,338.0,689.0,0.491,826.0,188.0,88.0,13.2
C,25.0,1693.0,242.0,500.0,0.484,610.0,208.0,97.0,11.4
C,25.0,640.0,84.0,187.0,0.449,219.0,208.0,97.0,11.8
C,25.0,1053.0,158.0,313.0,0.505,391.0,208.0,97.0,11.2
SF,23.0,1576.0,362.0,706.0,0.513,855.0,201.0,97.0,16.8
SF,31.0,1269.0,265.0,493.0,0.538,691.0,201.0,97.0,19.4
PG,23.0,1979.0,444.0,893.0,0.497,1058.0,183.0,77.0,14.4
PG,23.0,1434.0,325.0,676.0,0.481,786.0,183.0,77.0,15.4
PG,23.0,545.0,119.0,217.0,0.548,272.0,183.0,77.0,11.8
SG,34.0,1393.0,329.0,699.0,0.471,787.0,190.0,83.0,15.4
PF,23.0,221.0,31.0,75.0,0.413,85.0,203.0,88.0,12.2
PG,30.0,2941.0,707.0,1424.0,0.496,1660.0,175.0,74.0,16.1
SF,28.0,1307.0,227.0,522.0,0.435,523.0,203.0,88.0,9.6
C,29.0,2006.0,357.0,627.0,0.569,846.0,211.0,108.0,16.9
PF,28.0,48.0,4.0,11.0,0.364,9.0,201.0,102.0,-0.6
SG,30.0,1828.0,283.0,581.0,0.487,778.0,193.0,90.0,12.9
PG,23.0,3145.0,623.0,1149.0,0.542,1404.0,188.0,77.0,18.2
SG,25.0,323.0,71.0,165.0,0.43,161.0,190.0,79.0,11.9
PF,22.0,1885.0,261.0,551.0,0.474,755.0,203.0,102.0,12.4
SF,23.0,189.0,13.0,40.0,0.325,44.0,201.0,95.0,2.0
C,29.0,2791.0,600.0,1095.0,0.548,1520.0,208.0,97.0,19.9
C,25.0,2411.0,554.0,1110.0,0.499,1304.0,213.0,104.0,20.8
SF,23.0,2893.0,512.0,1019.0,0.502,1199.0,198.0,90.0,15.5
C,30.0,2122.0,399.0,758.0,0.526,912.0,211.0,106.0,15.5
SG,22.0,153.0,28.0,78.0,0.359,80.0,198.0,92.0,9.8
SG,22.0,32.0,1.0,8.0,0.125,4.0,196.0,90.0,1.6
PF,23.0,1337.0,198.0,464.0,0.427,507.0,206.0,106.0,13.1
PG,28.0,3064.0,534.0,1110.0,0.481,1260.0,183.0,77.0,17.2
PG,29.0,1207.0,171.0,344.0,0.497,397.0,190.0,88.0,12.3
SG,22.0,649.0,83.0,175.0,0.474,202.0,190.0,92.0,9.7
C,30.0,1917.0,231.0,439.0,0.526,568.0,206.0,104.0,12.5
SG,23.0,759.0,163.0,387.0,0.421,357.0,198.0,85.0,10.6
SG,23.0,736.0,162.0,375.0,0.432,355.0,198.0,85.0,11.3
SG,23.0,23.0,1.0,12.0,0.083,2.0,198.0,85.0,-13.4
SF,23.0,2259.0,382.0,777.0,0.492,895.0,203.0,92.0,13.9
PF,27.0,1598.0,262.0,529.0,0.495,575.0,206.0,102.0,12.1
PG,23.0,1218.0,200.0,483.0,0.414,469.0,198.0,85.0,12.4
SF,23.0,1236.0,211.0,498.0,0.424,498.0,196.0,83.0,11.2
SG,23.0,74.0,15.0,40.0,0.375,36.0,193.0,88.0,10.7
C,23.0,1763.0,322.0,673.0,0.478,818.0,211.0,104.0,14.5
C,23.0,849.0,140.0,295.0,0.475,370.0,211.0,104.0,13.4
C,23.0,914.0,182.0,378.0,0.481,448.0,211.0,104.0,15.5
SF,23.0,105.0,19.0,41.0,0.463,46.0,198.0,95.0,13.6
PF,27.0,2537.0,566.0,1152.0,0.491,1456.0,201.0,102.0,16.9
PF,27.0,1781.0,397.0,819.0,0.485,1039.0,201.0,102.0,18.0
PF,27.0,756.0,169.0,333.0,0.508,417.0,201.0,102.0,14.2
PF,26.0,2179.0,459.0,837.0,0.548,1098.0,201.0,104.0,16.4
C,29.0,1219.0,150.0,336.0,0.446,386.0,208.0,106.0,11.9
C,23.0,1900.0,297.0,555.0,0.535,683.0,216.0,106.0,17.3
PF,25.0,2539.0,462.0,916.0,0.504,1224.0,203.0,92.0,19.4
PF,29.0,1222.0,151.0,346.0,0.436,354.0,201.0,102.0,7.7
SF,23.0,723.0,59.0,133.0,0.444,184.0,201.0,104.0,8.2
SF,27.0,2859.0,603.0,1268.0,0.476,1623.0,196.0,98.0,18.6
SF,22.0,479.0,105.0,246.0,0.427,264.0,198.0,90.0,13.9
SF,22.0,263.0,50.0,127.0,0.394,132.0,198.0,90.0,11.8
SF,22.0,216.0,55.0,119.0,0.462,132.0,198.0,90.0,16.4
SF,23.0,1737.0,212.0,396.0,0.535,544.0,201.0,83.0,13.2
PG,30.0,2617.0,393.0,854.0,0.46,947.0,196.0,79.0,9.8
PF,23.0,2158.0,446.0,859.0,0.519,1023.0,203.0,108.0,14.9
SF,24.0,279.0,36.0,76.0,0.474,92.0,198.0,97.0,9.2
SF,24.0,203.0,24.0,51.0,0.471,60.0,198.0,97.0,7.4
SF,24.0,76.0,12.0,25.0,0.48,32.0,198.0,97.0,14.2
PF,21.0,1703.0,369.0,771.0,0.479,795.0,201.0,95.0,13.1
C,23.0,2958.0,476.0,1034.0,0.46,1281.0,211.0,104.0,16.3
PG,29.0,2171.0,466.0,922.0,0.505,1266.0,185.0,81.0,16.0
PF,35.0,1957.0,170.0,402.0,0.423,456.0,201.0,99.0,10.4
SG,29.0,979.0,174.0,433.0,0.402,424.0,196.0,90.0,9.7
SG,29.0,452.0,87.0,196.0,0.444,202.0,196.0,90.0,11.2
SG,29.0,527.0,87.0,237.0,0.367,222.0,196.0,90.0,8.4
SG,26.0,643.0,91.0,214.0,0.425,281.0,190.0,86.0,12.2
SG,26.0,334.0,55.0,125.0,0.44,182.0,190.0,86.0,16.2
SG,26.0,309.0,36.0,89.0,0.404,99.0,190.0,86.0,8.0
SG,32.0,1650.0,361.0,784.0,0.46,805.0,196.0,86.0,13.4
C,29.0,332.0,69.0,130.0,0.531,156.0,213.0,113.0,14.5
SG,26.0,2288.0,489.0,977.0,0.501,1172.0,193.0,83.0,16.1
SG,30.0,3111.0,693.0,1523.0,0.455,1678.0,190.0,81.0,16.6
PG,23.0,1479.0,184.0,436.0,0.422,527.0,180.0,74.0,11.6
SF,24.0,125.0,19.0,47.0,0.404,56.0,201.0,104.0,14.2
PG,25.0,131.0,23.0,44.0,0.523,58.0,213.0,99.0,14.6
SG,34.0,536.0,81.0,187.0,0.433,205.0,196.0,93.0,10.8
SG,26.0,2825.0,553.0,1194.0,0.463,1404.0,190.0,89.0,14.8
SG,27.0,831.0,128.0,342.0,0.374,300.0,190.0,83.0,8.0
SG,27.0,571.0,76.0,209.0,0.364,183.0,190.0,83.0,7.1
SG,27.0,260.0,52.0,133.0,0.391,117.0,190.0,83.0,10.1
SG,29.0,1488.0,203.0,483.0,0.42,518.0,196.0,81.0,10.1
SG,25.0,1233.0,280.0,627.0,0.447,612.0,196.0,83.0,11.9
SG,25.0,38.0,8.0,20.0,0.4,20.0,196.0,83.0,7.1
SG,25.0,1195.0,272.0,607.0,0.448,592.0,196.0,83.0,12.1
PG,27.0,212.0,30.0,83.0,0.361,76.0,188.0,83.0,11.1
SF,24.0,732.0,93.0,198.0,0.47,221.0,203.0,90.0,9.3
SF,24.0,572.0,63.0,144.0,0.438,153.0,203.0,90.0,8.0
SF,24.0,160.0,30.0,54.0,0.556,68.0,203.0,90.0,14.1
PG,21.0,2753.0,537.0,1119.0,0.48,1338.0,201.0,86.0,13.3
SG,24.0,2670.0,693.0,1353.0,0.512,1825.0,193.0,88.0,19.9
C,24.0,2144.0,460.0,938.0,0.49,1074.0,208.0,102.0,17.0
PF,30.0,2641.0,620.0,1200.0,0.517,1408.0,203.0,98.0,16.4
SG,23.0,771.0,127.0,289.0,0.439,304.0,190.0,79.0,10.8
PG,28.0,1570.0,203.0,381.0,0.533,667.0,185.0,79.0,14.9
PF,22.0,2560.0,456.0,946.0,0.482,1056.0,201.0,97.0,15.5
C,32.0,2406.0,346.0,600.0,0.577,843.0,201.0,111.0,17.8
SF,27.0,1998.0,196.0,423.0,0.463,538.0,185.0,79.0,10.8
PG,31.0,555.0,30.0,77.0,0.39,107.0,196.0,86.0,11.0
SG,24.0,586.0,62.0,177.0,0.35,172.0,190.0,79.0,4.9
SG,24.0,8.0,0.0,1.0,0.0,0.0,190.0,79.0,-15.9
SG,24.0,578.0,62.0,176.0,0.352,172.0,190.0,79.0,5.2
PG,27.0,1753.0,208.0,448.0,0.464,553.0,183.0,83.0,15.0
SF,24.0,969.0,168.0,343.0,0.49,394.0,201.0,86.0,11.6
PG,25.0,1381.0,157.0,327.0,0.48,375.0,183.0,72.0,12.4
PF,27.0,2764.0,350.0,623.0,0.562,927.0,203.0,104.0,15.0
PF,23.0,161.0,14.0,41.0,0.341,38.0,211.0,99.0,5.3
PF,23.0,1139.0,218.0,434.0,0.502,502.0,206.0,102.0,12.9
PG,27.0,1046.0,92.0,227.0,0.405,225.0,185.0,79.0,11.3
SF,28.0,2642.0,479.0,998.0,0.48,1134.0,201.0,88.0,12.7
C,26.0,2027.0,264.0,558.0,0.473,678.0,216.0,102.0,13.4
SF,26.0,2498.0,561.0,1050.0,0.534,1338.0,201.0,97.0,16.9
SG,28.0,2641.0,801.0,1496.0,0.535,1941.0,193.0,88.0,22.6
PG,32.0,2338.0,404.0,910.0,0.444,947.0,190.0,81.0,11.2
PG,32.0,1455.0,255.0,596.0,0.428,589.0,190.0,81.0,10.2
PG,32.0,883.0,149.0,314.0,0.475,358.0,190.0,81.0,12.7
C,22.0,152.0,15.0,34.0,0.441,38.0,208.0,99.0,8.4
PF,29.0,2022.0,312.0,676.0,0.462,771.0,203.0,102.0,11.1
SF,24.0,2425.0,396.0,869.0,0.456,911.0,198.0,88.0,12.0
SF,25.0,2915.0,626.0,1242.0,0.504,1524.0,198.0,86.0,16.4
C,27.0,273.0,54.0,123.0,0.439,122.0,201.0,104.0,15.3
SG,22.0,1195.0,335.0,683.0,0.49,746.0,193.0,86.0,16.1
PG,25.0,2266.0,606.0,1224.0,0.495,1457.0,188.0,79.0,21.1
SG,28.0,1299.0,284.0,567.0,0.501,670.0,196.0,97.0,14.7
PG,24.0,2370.0,575.0,1257.0,0.457,1401.0,190.0,85.0,17.7
SG,27.0,2451.0,635.0,1367.0,0.465,1643.0,188.0,83.0,16.4
SG,22.0,589.0,81.0,197.0,0.411,186.0,196.0,90.0,9.7
SG,26.0,2575.0,662.0,1343.0,0.493,1561.0,193.0,83.0,15.6
PG,24.0,1658.0,276.0,589.0,0.469,677.0,185.0,72.0,13.7
,,,,,,,,,
C,32.0,3143.0,835.0,1383.0,0.604,2034.0,218.0,102.0,25.3
PF,25.0,1222.0,153.0,318.0,0.481,362.0,201.0,99.0,11.0
C,25.0,2168.0,465.0,875.0,0.531,1118.0,206.0,95.0,19.2
PG,31.0,2864.0,383.0,794.0,0.482,1131.0,185.0,68.0,15.3
C,31.0,560.0,27.0,60.0,0.45,86.0,208.0,106.0,7.4
SG,28.0,180.0,16.0,35.0,0.457,38.0,196.0,83.0,9.3
PF,22.0,726.0,122.0,271.0,0.45,312.0,206.0,99.0,12.3
SF,25.0,2438.0,545.0,1101.0,0.495,1277.0,201.0,97.0,18.1
SF,28.0,2330.0,384.0,760.0,0.505,908.0,206.0,90.0,13.7
PF,27.0,287.0,24.0,60.0,0.4,64.0,203.0,95.0,8.2
SF,35.0,1816.0,325.0,771.0,0.422,866.0,201.0,92.0,14.8
PF,28.0,164.0,12.0,34.0,0.353,34.0,203.0,102.0,6.7
PF,28.0,92.0,8.0,22.0,0.364,24.0,203.0,102.0,7.9
PF,28.0,72.0,4.0,12.0,0.333,10.0,203.0,102.0,5.3
SG,23.0,235.0,72.0,146.0,0.493,180.0,206.0,99.0,24.1
PF,29.0,64.0,9.0,23.0,0.391,23.0,206.0,83.0,10.2
C,25.0,1891.0,299.0,618.0,0.484,698.0,208.0,106.0,13.1
C,25.0,1389.0,213.0,431.0,0.494,492.0,208.0,106.0,13.3
C,25.0,502.0,86.0,187.0,0.46,206.0,208.0,106.0,12.4
PG,23.0,869.0,88.0,250.0,0.352,244.0,180.0,74.0,6.4
PG,30.0,2035.0,251.0,626.0,0.401,739.0,185.0,83.0,11.1
PF,23.0,2955.0,693.0,1463.0,0.474,1745.0,206.0,99.0,20.5
SG,24.0,2885.0,781.0,1546.0,0.505,1858.0,190.0,86.0,18.5
SG,33.0,2392.0,405.0,915.0,0.443,1004.0,188.0,90.0,12.1
SG,33.0,106.0,14.0,40.0,0.35,34.0,188.0,90.0,3.0
SG,33.0,2286.0,391.0,875.0,0.447,970.0,188.0,90.0,12.5
PF,23.0,125.0,24.0,52.0,0.462,56.0,203.0,102.0,12.6
PF,26.0,2077.0,346.0,613.0,0.564,903.0,206.0,99.0,14.3
PF,26.0,522.0,72.0,135.0,0.533,203.0,206.0,99.0,13.5
PF,26.0,1555.0,274.0,478.0,0.573,700.0,206.0,99.0,14.6
SG,22.0,1102.0,221.0,467.0,0.473,546.0,198.0,83.0,13.1
SF,26.0,96.0,17.0,48.0,0.354,41.0,198.0,86.0,4.1
SG,22.0,2027.0,275.0,609.0,0.452,688.0,198.0,88.0,13.5
PG,24.0,1589.0,269.0,687.0,0.392,700.0,188.0,83.0,11.6
PF,28.0,1016.0,90.0,184.0,0.489,194.0,206.0,95.0,11.3
SG,24.0,2815.0,548.0,1182.0,0.464,1286.0,193.0,81.0,13.2
SF,26.0,2316.0,594.0,1243.0,0.478,1423.0,196.0,95.0,17.1
SF,28.0,2304.0,377.0,785.0,0.48,953.0,201.0,95.0,16.6
SG,31.0,1701.0,404.0,843.0,0.479,960.0,190.0,82.0,16.4
SF,28.0,385.0,37.0,105.0,0.352,112.0,201.0,99.0,5.1
SF,28.0,24.0,0.0,7.0,0.0,4.0,201.0,99.0,-0.5
SF,28.0,361.0,37.0,98.0,0.378,108.0,201.0,99.0,5.4
C,29.0,37.0,1.0,3.0,0.333,2.0,196.0,92.0,7.0
PF,25.0,2328.0,294.0,682.0,0.431,754.0,206.0,83.0,11.1
PG,25.0,1690.0,306.0,655.0,0.467,719.0,190.0,86.0,16.5
C,27.0,272.0,36.0,104.0,0.346,95.0,218.0,102.0,7.8
PG,29.0,2499.0,261.0,589.0,0.443,626.0,193.0,86.0,10.7
SF,23.0,194.0,25.0,50.0,0.5,63.0,201.0,97.0,6.3
SF,29.0,30.0,4.0,9.0,0.444,8.0,201.0,95.0,10.6
PG,32.0,772.0,100.0,227.0,0.441,306.0,183.0,74.0,14.5
SG,31.0,1595.0,390.0,839.0,0.465,909.0,193.0,90.0,14.3
PF,24.0,1838.0,378.0,768.0,0.492,929.0,201.0,99.0,15.9
PF,24.0,57.0,7.0,16.0,0.438,16.0,201.0,99.0,5.2
PF,24.0,1781.0,371.0,752.0,0.493,913.0,201.0,99.0,16.3
SF,29.0,1994.0,362.0,763.0,0.474,914.0,183.0,74.0,14.6
SG,26.0,134.0,15.0,37.0,0.405,36.0,198.0,88.0,5.9
SG,23.0,117.0,15.0,37.0,0.405,32.0,196.0,86.0,4.2
C,22.0,3150.0,665.0,1215.0,0.547,1781.0,216.0,111.0,17.9
C,28.0,1366.0,97.0,244.0,0.398,233.0,206.0,98.0,10.9
SG,33.0,523.0,67.0,189.0,0.354,167.0,196.0,95.0,7.8
PG,23.0,2623.0,357.0,661.0,0.54,898.0,185.0,81.0,15.9
SG,29.0,850.0,136.0,349.0,0.39,326.0,190.0,81.0,9.5
SG,29.0,470.0,84.0,214.0,0.393,202.0,190.0,81.0,10.1
SG,29.0,380.0,52.0,135.0,0.385,124.0,190.0,81.0,8.9
C,30.0,2394.0,372.0,760.0,0.489,869.0,211.0,99.0,11.3
PG,30.0,1789.0,214.0,450.0,0.476,519.0,190.0,83.0,10.8
PG,30.0,254.0,30.0,69.0,0.435,75.0,190.0,83.0,11.1
PG,30.0,1535.0,184.0,381.0,0.483,444.0,190.0,83.0,10.7
SG,28.0,963.0,191.0,410.0,0.466,495.0,198.0,81.0,13.6
PF,23.0,904.0,129.0,275.0,0.469,362.0,208.0,97.0,14.4
SG,23.0,1973.0,303.0,578.0,0.524,722.0,196.0,77.0,12.5
PF,23.0,1781.0,367.0,750.0,0.489,871.0,208.0,99.0,14.8
SF,24.0,1142.0,182.0,368.0,0.495,427.0,198.0,81.0,11.0
C,23.0,826.0,90.0,216.0,0.417,225.0,211.0,113.0,10.3
SF,28.0,160.0,29.0,81.0,0.358,68.0,201.0,102.0,6.0
C,31.0,2159.0,422.0,932.0,0.453,940.0,206.0,104.0,14.8
PG,31.0,1794.0,249.0,578.0,0.431,671.0,173.0,74.0,11.5
PG,23.0,28.0,2.0,4.0,0.5,6.0,193.0,88.0,3.5
C,23.0,900.0,187.0,370.0,0.505,468.0,206.0,104.0,15.3
SF,32.0,1457.0,329.0,729.0,0.451,783.0,198.0,88.0,14.8
SF,23.0,2674.0,730.0,1267.0,0.576,1903.0,196.0,94.0,24.3
PG,24.0,268.0,35.0,63.0,0.556,83.0,190.0,81.0,14.1
PG,24.0,43.0,2.0,7.0,0.286,7.0,190.0,81.0,3.9
PG,24.0,225.0,33.0,56.0,0.589,76.0,190.0,81.0,16.0
SF,24.0,30.0,6.0,12.0,0.5,13.0,201.0,99.0,5.8
PG,24.0,2912.0,496.0,1159.0,0.428,1300.0,188.0,77.0,13.6
SF,25.0,2309.0,657.0,1166.0,0.563,1613.0,203.0,92.0,21.3
C,23.0,2541.0,494.0,946.0,0.522,1178.0,211.0,113.0,14.6
SF,22.0,776.0,141.0,300.0,0.47,316.0,196.0,86.0,11.0
SG,22.0,48.0,2.0,11.0,0.182,10.0,193.0,86.0,4.5
PF,22.0,1872.0,230.0,528.0,0.436,570.0,206.0,102.0,7.4
C,31.0,1830.0,227.0,500.0,0.454,545.0,208.0,99.0,12.1
C,25.0,1782.0,221.0,455.0,0.486,567.0,208.0,104.0,11.4
SF,25.0,2306.0,535.0,1182.0,0.453,1559.0,198.0,92.0,17.8
SG,23.0,1331.0,282.0,598.0,0.472,624.0,188.0,81.0,11.7
PG,25.0,1036.0,148.0,319.0,0.464,410.0,190.0,81.0,12.9
SG,24.0,1841.0,240.0,551.0,0.436,564.0,201.0,104.0,12.5
C,24.0,2314.0,528.0,1032.0,0.512,1287.0,213.0,102.0,17.6
PF,24.0,722.0,101.0,228.0,0.443,307.0,206.0,102.0,11.6
PF,25.0,502.0,61.0,136.0,0.449,162.0,196.0,83.0,12.1
C,27.0,915.0,104.0,242.0,0.43,259.0,206.0,99.0,10.6
SF,26.0,2401.0,553.0,1113.0,0.497,1318.0,201.0,86.0,18.0
SF,26.0,1526.0,346.0,686.0,0.504,806.0,201.0,86.0,17.7
SF,26.0,875.0,207.0,427.0,0.485,512.0,201.0,86.0,18.5
SF,29.0,2812.0,838.0,1614.0,0.519,2100.0,201.0,95.0,25.4
PF,24.0,381.0,63.0,140.0,0.45,157.0,203.0,91.0,10.3
SG,24.0,1246.0,208.0,464.0,0.448,486.0,185.0,77.0,9.8
PF,26.0,431.0,71.0,153.0,0.464,175.0,208.0,92.0,14.4
SG,31.0,2115.0,330.0,709.0,0.465,816.0,196.0,86.0,13.0
SF,27.0,999.0,131.0,274.0,0.478,308.0,206.0,97.0,9.6
SF,27.0,580.0,66.0,130.0,0.508,155.0,206.0,97.0,8.3
SF,27.0,419.0,65.0,144.0,0.451,153.0,206.0,97.0,11.4
PG,23.0,2621.0,489.0,1058.0,0.462,1328.0,188.0,79.0,16.5
PG,34.0,27.0,4.0,11.0,0.364,10.0,193.0,90.0,13.6
SG,26.0,2585.0,737.0,1556.0,0.474,2055.0,206.0,97.0,22.7
SG,25.0,2122.0,430.0,926.0,0.464,1055.0,193.0,86.0,16.0
SG,25.0,404.0,66.0,161.0,0.41,177.0,193.0,86.0,15.9
SG,25.0,1718.0,364.0,765.0,0.476,878.0,193.0,86.0,16.0
PG,29.0,1474.0,171.0,377.0,0.454,441.0,193.0,83.0,13.3
PG,22.0,1106.0,155.0,356.0,0.435,334.0,193.0,81.0,10.2
SF,26.0,869.0,159.0,348.0,0.457,385.0,203.0,90.0,14.1
SG,27.0,2934.0,1024.0,1940.0,0.528,2585.0,201.0,81.0,24.0
C,29.0,285.0,23.0,66.0,0.348,55.0,208.0,99.0,5.1
C,30.0,1568.0,305.0,513.0,0.595,855.0,218.0,108.0,19.9
SF,23.0,1254.0,182.0,473.0,0.385,470.0,196.0,92.0,11.5
SG,24.0,800.0,188.0,364.0,0.516,441.0,188.0,79.0,16.6
SF,24.0,1020.0,148.0,286.0,0.517,390.0,198.0,98.0,16.7
C,28.0,459.0,69.0,159.0,0.434,162.0,208.0,90.0,10.6
PF,22.0,2791.0,498.0,1051.0,0.474,1334.0,206.0,100.0,16.2
SF,26.0,1818.0,331.0,804.0,0.412,912.0,196.0,95.0,13.7
C,26.0,1812.0,173.0,313.0,0.553,520.0,206.0,92.0,13.2
SF,26.0,1581.0,221.0,472.0,0.468,538.0,198.0,90.0,12.0
SF,24.0,1397.0,186.0,420.0,0.443,474.0,198.0,95.0,10.9
PG,22.0,1116.0,115.0,287.0,0.401,333.0,188.0,81.0,9.1
PF,23.0,1600.0,184.0,363.0,0.507,420.0,203.0,99.0,11.8
SG,24.0,1135.0,215.0,509.0,0.422,523.0,196.0,81.0,13.0
PF,29.0,1853.0,304.0,605.0,0.502,761.0,206.0,99.0,16.2
PF,34.0,3183.0,761.0,1677.0,0.454,1859.0,206.0,106.0,17.2
PF,30.0,1544.0,288.0,591.0,0.487,736.0,203.0,102.0,13.9
PF,31.0,1403.0,171.0,410.0,0.417,406.0,198.0,99.0,11.5
PG,24.0,1061.0,191.0,382.0,0.5,473.0,188.0,79.0,12.7
PG,28.0,1551.0,154.0,323.0,0.477,364.0,190.0,86.0,9.7
PG,22.0,1121.0,144.0,323.0,0.446,409.0,190.0,83.0,10.1
PG,26.0,2092.0,177.0,431.0,0.411,479.0,193.0,86.0,9.2
PF,30.0,708.0,82.0,179.0,0.458,198.0,206.0,97.0,8.7
SG,23.0,197.0,44.0,104.0,0.423,106.0,190.0,81.0,14.3
SG-PG,26.0,1209.0,212.0,526.0,0.403,528.0,190.0,83.0,10.5
PG,26.0,413.0,82.0,213.0,0.385,199.0,190.0,83.0,8.2
SG,26.0,796.0,130.0,313.0,0.415,329.0,190.0,83.0,11.7
PF,23.0,1189.0,210.0,451.0,0.466,585.0,203.0,97.0,13.7
C,27.0,1208.0,102.0,202.0,0.505,219.0,211.0,99.0,11.5
PG,22.0,923.0,94.0,241.0,0.39,219.0,188.0,79.0,7.0
C,31.0,2938.0,715.0,1416.0,0.505,1951.0,206.0,106.0,22.2
PF,34.0,194.0,29.0,46.0,0.63,65.0,203.0,99.0,10.7
SF,25.0,1286.0,288.0,565.0,0.51,737.0,203.0,95.0,18.7
SF,22.0,53.0,12.0,30.0,0.4,27.0,183.0,77.0,9.4
C,23.0,1541.0,199.0,396.0,0.503,472.0,208.0,108.0,13.9
SG,25.0,2937.0,574.0,1361.0,0.422,1540.0,193.0,83.0,15.9
SG,24.0,2622.0,590.0,1212.0,0.487,1465.0,203.0,92.0,18.0
C,31.0,2119.0,248.0,543.0,0.457,585.0,211.0,111.0,11.8
PF,23.0,1938.0,309.0,649.0,0.476,768.0,211.0,111.0,15.0
SF,32.0,2533.0,377.0,772.0,0.488,915.0,201.0,90.0,13.3
SG,20.0,2795.0,503.0,949.0,0.53,1387.0,201.0,98.0,20.6
SF,23.0,2686.0,689.0,1267.0,0.544,1671.0,201.0,98.0,22.0
PF,27.0,2647.0,588.0,1271.0,0.463,1566.0,208.0,86.0,20.3
SF,30.0,1535.0,262.0,527.0,0.497,607.0,198.0,90.0,12.3
SG,23.0,325.0,45.0,115.0,0.391,121.0,188.0,90.0,10.9
PF,28.0,2125.0,398.0,748.0,0.532,1053.0,206.0,95.0,18.5
C,29.0,2771.0,232.0,532.0,0.436,588.0,211.0,98.0,9.7
PF,27.0,1448.0,257.0,506.0,0.508,660.0,208.0,95.0,14.2
PF,27.0,278.0,50.0,119.0,0.42,127.0,208.0,95.0,11.3
PF,27.0,1170.0,207.0,387.0,0.535,533.0,208.0,95.0,14.9
PF,26.0,1545.0,188.0,392.0,0.48,438.0,206.0,102.0,10.3
PG,25.0,2657.0,437.0,1017.0,0.43,1087.0,185.0,77.0,14.4
SF,23.0,674.0,139.0,276.0,0.504,351.0,198.0,83.0,14.1
C,26.0,1839.0,229.0,484.0,0.473,702.0,213.0,106.0,14.4
C,26.0,1466.0,186.0,399.0,0.466,569.0,213.0,106.0,13.8
C,26.0,373.0,43.0,85.0,0.506,133.0,213.0,106.0,16.5
SF,22.0,1233.0,280.0,593.0,0.472,709.0,201.0,86.0,16.1
PF,27.0,2798.0,647.0,1333.0,0.485,1565.0,206.0,92.0,17.2
SF,28.0,212.0,32.0,96.0,0.333,82.0,206.0,102.0,3.7
C,23.0,6.0,1.0,2.0,0.5,3.0,208.0,104.0,22.7
SF,23.0,419.0,71.0,137.0,0.518,176.0,201.0,92.0,11.4
PF,22.0,2052.0,257.0,499.0,0.515,673.0,198.0,102.0,13.5
SF,27.0,1910.0,385.0,722.0,0.533,986.0,198.0,88.0,18.0
SF,24.0,2945.0,669.0,1265.0,0.529,1549.0,206.0,95.0,16.4
C,23.0,45.0,7.0,22.0,0.318,16.0,206.0,99.0,6.6
C,24.0,711.0,67.0,143.0,0.469,190.0,201.0,92.0,10.0
PG,24.0,100.0,12.0,34.0,0.353,29.0,188.0,81.0,11.1
C,28.0,302.0,50.0,114.0,0.439,126.0,213.0,104.0,13.5
PF,25.0,451.0,67.0,160.0,0.419,186.0,206.0,104.0,9.7
C,31.0,2412.0,303.0,677.0,0.448,743.0,208.0,106.0,14.9
C,24.0,1164.0,146.0,306.0,0.477,382.0,208.0,99.0,10.8
PF,27.0,1324.0,165.0,400.0,0.413,403.0,208.0,102.0,10.4
C,24.0,1510.0,249.0,483.0,0.516,614.0,203.0,97.0,15.7
C,24.0,1136.0,183.0,346.0,0.529,453.0,203.0,97.0,15.3
C,24.0,374.0,66.0,137.0,0.482,161.0,203.0,97.0,17.0
C,31.0,2131.0,466.0,867.0,0.537,1210.0,211.0,113.0,20.4
C,31.0,1392.0,319.0,584.0,0.546,802.0,211.0,113.0,20.3
C,31.0,739.0,147.0,283.0,0.519,408.0,211.0,113.0,20.5
PG,22.0,2123.0,330.0,656.0,0.503,843.0,185.0,77.0,15.1
PG,23.0,55.0,6.0,24.0,0.25,18.0,183.0,83.0,5.3
PG,23.0,24.0,2.0,11.0,0.182,4.0,183.0,83.0,-4.0
PG,23.0,31.0,4.0,13.0,0.308,14.0,183.0,83.0,12.4
PG,27.0,1167.0,113.0,305.0,0.37,292.0,193.0,87.0,10.3
PG,27.0,364.0,29.0,91.0,0.319,67.0,193.0,87.0,4.1
PG,27.0,803.0,84.0,214.0,0.393,225.0,193.0,87.0,13.1
SG,23.0,2364.0,588.0,1164.0,0.505,1337.0,196.0,88.0,16.4
PG,26.0,2763.0,388.0,830.0,0.467,1010.0,190.0,79.0,15.3
PF,27.0,1884.0,371.0,813.0,0.456,923.0,206.0,97.0,14.8
